person_id,date,lat,lon,rhum,uwnd_ms,vwnd_ms,wind_speed,air_2m,dpt_2m,pres_sfc,apcp,prate,crain,csnow,cfrzr,cicep,weasd,snod,snowc,dswrf,uswrf_sfc,dlwrf,ulwrf_sfc,gflux,lhtfl,shtfl,hpbl,tcdc,pr_wtr,cape,cin,veg,albedo,evap,vis
91204,2022-07-15,33.4485,-112.0738,20.6,-0.5,0.1,0.51,33.7122,12.3552,95689.1417,3.636,0.0001,0,0,0,0,0.0,0.0,0.0,311.3871,32.5584,336.4831,455.3243,-1.0852,51.199,258.2223,2827.0035,26.8038,15.906,1154.1522,-163.3114,18.136,27.2061,3.9914,22170.2282
91204,2022-07-16,33.4485,-112.0738,19.5,-0.75,0.25,0.791,30.8616,17.6864,96054.4023,1.8327,0.0001,0,0,0,0,0.0,0.0,0.0,324.0192,37.0092,387.7568,482.3774,5.0216,14.0183,242.8145,2165.4898,26.4773,20.9132,899.0636,-236.1863,9.764,21.1304,2.1707,21488.6672
91204,2022-07-17,33.4485,-112.0738,18.4,-1.0,0.4,1.077,30.9882,18.5368,95822.982,1.3582,0.0001,0,0,0,0,0.0,0.0,0.0,317.1321,50.1467,379.6132,454.4621,32.3437,25.9192,275.1565,2384.6648,20.7442,13.6321,1624.7832,-228.4422,13.9167,24.5527,6.0763,21329.928
91204,2022-07-18,33.4485,-112.0738,25.0,0.5,-0.5,0.707,28.5965,12.3046,96200.2926,4.8291,0.0001,0,0,0,0,0.0,0.0,0.0,309.2547,39.269,372.7303,444.1573,4.076,58.3807,210.4155,1776.9575,24.8277,22.1728,403.843,-159.4612,20.5517,23.7611,4.9384,20975.6507
91204,2022-07-19,33.4485,-112.0738,33.8,2.5,-1.7,3.023,31.4727,5.9466,96325.5408,6.0829,0.0002,1,0,0,0,0.0,0.0,0.0,301.6864,47.6977,396.9441,430.19,17.0757,50.6827,194.7386,2935.1058,37.0373,31.7288,1528.0947,-62.1408,11.8219,23.5058,5.7954,18009.5536
91204,2022-07-20,33.4485,-112.0738,30.5,1.75,-1.25,2.151,31.0772,11.8467,95779.6618,6.3966,0.0001,1,0,0,0,0.0,0.0,0.0,300.2929,38.6892,395.989,480.8897,17.3877,45.2353,225.707,1709.41,40.2347,30.0943,1407.2718,-119.295,17.4469,23.7168,4.0018,19273.8052
91204,2022-07-21,33.4485,-112.0738,21.7,-0.25,-0.05,0.255,30.4899,8.0624,96347.8329,2.5064,0.0001,0,0,0,0,0.0,0.0,0.0,319.2039,48.0934,389.8265,445.4692,37.2236,41.0386,267.0213,3208.2889,20.777,22.7355,153.3315,-143.817,24.0972,18.4709,6.0723,20626.4978
91204,2022-07-22,33.4485,-112.0738,20.2,-0.6,0.16,0.621,33.8521,4.35,95766.0966,1.576,0.0001,0,0,0,0,0.0,0.0,0.0,316.9319,37.6195,358.7931,476.6114,22.2264,55.6144,265.7139,1572.8974,29.2085,21.366,646.7798,-172.3542,12.4262,18.1029,5.7941,22146.271
91205,2022-07-15,33.4738,-112.0742,20.6,-0.5,0.1,0.51,33.0724,16.3945,95030.4612,4.0368,0.0001,0,0,0,0,0.0,0.0,0.0,316.0092,37.2873,393.9332,484.1213,7.4634,43.5966,239.4175,3627.6849,19.484,18.2853,1903.9055,-227.5336,18.166,22.7663,3.3732,20501.5471
91205,2022-07-16,33.4738,-112.0742,19.5,-0.75,0.25,0.791,30.1144,4.7813,95771.2501,2.0336,0.0,0,0,0,0,0.0,0.0,0.0,317.1208,46.9306,359.9285,450.5121,32.5722,17.0054,256.6179,2432.1656,26.7857,19.4419,2155.5522,-186.2967,14.4642,25.9648,2.554,21885.8144
