person_id,date,lat,lon,tmax,tmin,tmean,tdmean,ppt,vpdmin,vpdmax
91204,2022-07-15,33.4485,-112.0738,43.9,29.9,36.9,8.0,0.0,30.0,45.0
91204,2022-07-16,33.4485,-112.0738,44.4,30.4,37.4,8.0,0.0,30.0,45.0
91204,2022-07-17,33.4485,-112.0738,45.6,31.6,38.6,8.0,0.0,30.0,45.0
91204,2022-07-18,33.4485,-112.0738,46.1,32.1,39.1,8.3,0.2,29.3,44.3
91204,2022-07-19,33.4485,-112.0738,46.7,32.7,39.7,12.9,3.8,16.7,31.7
91204,2022-07-20,33.4485,-112.0738,45.0,31.0,38.0,15.9,6.1,8.7,23.7
91204,2022-07-21,33.4485,-112.0738,44.2,30.2,37.2,8.5,0.4,28.6,43.6
91204,2022-07-22,33.4485,-112.0738,43.3,29.3,36.3,8.0,0.0,30.0,45.0
91205,2022-07-15,33.4738,-112.0742,43.7,29.7,36.7,8.0,0.0,30.0,45.0
91205,2022-07-16,33.4738,-112.0742,44.2,30.2,37.2,8.0,0.0,30.0,45.0
91205,2022-07-17,33.4738,-112.0742,45.3,31.3,38.3,8.0,0.0,30.0,45.0
91205,2022-07-18,33.4738,-112.0742,45.9,31.9,38.9,8.3,0.2,29.3,44.3
91205,2022-07-19,33.4738,-112.0742,46.4,32.4,39.4,12.9,3.8,16.7,31.7
91205,2022-07-20,33.4738,-112.0742,44.8,30.8,37.8,15.9,6.1,8.7,23.7
91205,2022-07-21,33.4738,-112.0742,44.0,30.0,37.0,8.5,0.4,28.6,43.6
91205,2022-07-22,33.4738,-112.0742,43.1,29.1,36.1,8.0,0.0,30.0,45.0
91206,2022-07-15,32.2226,-110.9747,41.1,27.1,34.1,8.0,0.0,30.0,45.0
91206,2022-07-16,32.2226,-110.9747,41.7,27.7,34.7,8.0,0.0,30.0,45.0
91206,2022-07-17,32.2226,-110.9747,42.8,28.8,35.8,8.0,0.0,30.0,45.0
91206,2022-07-18,32.2226,-110.9747,43.3,29.3,36.3,8.3,0.2,29.3,44.3
91206,2022-07-19,32.2226,-110.9747,43.9,29.9,36.9,12.9,3.8,16.7,31.7
91206,2022-07-20,32.2226,-110.9747,42.2,28.2,35.2,15.9,6.1,8.7,23.7
91206,2022-07-21,32.2226,-110.9747,41.4,27.4,34.4,8.5,0.4,28.6,43.6
91206,2022-07-22,32.2226,-110.9747,40.6,26.6,33.6,8.0,0.0,30.0,45.0
